SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0600, 6, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0499, 5, -0.58307129, -0.42764974, -0.63273567, -2.37779164, -15.15235043, -20.88827515, 0.00000000, 0.00000000, 0.00000000, 33.48939514, -37.88971329, -133.79141235, 0.44139999, 0.17899999, 0.37259999, 0.79629999, -0.03000000, -0.00600000, -0.02500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.12198289, 0.06083677, -0.98050338, -1.75714457, 6.18954039, -2.13628793, 0.00000000, 0.00000000, 0.00000000, -3.50077319, -6.17648697, 76.82793427, -0.78299999, 0.00950000, -0.06110000, 0.61879998, 0.01400000, 0.00000000, -0.01100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0700, 7, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71276784, 74.16368103, 3.97059870, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0599, 6, -0.60907757, -0.42466292, -0.62708843, -3.03950357, -16.99457550, -23.15278625, 0.00000000, 0.00000000, 0.00000000, 33.68420029, -37.90690231, -134.15237427, 0.43919998, 0.17950000, 0.37340000, 0.79699999, -0.00400000, -0.01100000, -0.02900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.12400769, 0.05683059, -0.97856969, -1.84028780, 9.44571877, -1.84104574, 0.00000000, 0.00000000, 0.00000000, -3.51796198, -6.08481359, 76.80501556, -0.78310001, 0.00890000, -0.06060000, 0.61869997, 0.01800000, 0.00300000, -0.01200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0800, 8, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71276784, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.13095209, 0.06084827, -0.98260218, -2.39344096, 13.50133801, -1.60818326, 0.00000000, 0.00000000, 0.00000000, -3.54088044, -5.95303345, 76.78209686, -0.78329998, 0.00800000, -0.05980000, 0.61860001, 0.02600000, 0.00000000, -0.00900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0900, 9, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71849704, 74.16368103, 3.96486950, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0699, 7, -0.63415527, -0.42869925, -0.61748791, -3.00879908, -17.87836456, -24.88216400, 0.00000000, 0.00000000, 0.00000000, 33.89046478, -37.91835785, -134.54199219, 0.43680000, 0.18009999, 0.37430000, 0.79780000, 0.02000000, -0.01000000, -0.03700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0799, 8, -0.65317261, -0.44066623, -0.61289734, -3.51219869, -17.40282059, -26.20711136, 0.00000000, 0.00000000, 0.00000000, 34.10245895, -37.91835785, -134.94306946, 0.43429998, 0.18060000, 0.37509999, 0.79859996, 0.03800000, 0.00000000, -0.03900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
